year	month	day	Lat	Lon	Tx	Tn	RR	WSP	RH
1960	1	1	NA	NA	NA	NA	NA	NA	NA
1960	1	2	NA	NA	NA	NA	NA	NA	NA
1960	1	3	NA	NA	NA	NA	NA	NA	NA
1960	1	4	NA	NA	NA	NA	NA	NA	NA
1960	1	5	NA	NA	NA	NA	NA	NA	NA
1960	1	6	NA	NA	NA	NA	NA	NA	NA
1960	1	7	NA	NA	NA	NA	NA	NA	NA
1960	1	8	NA	NA	NA	NA	NA	NA	NA
1960	1	9	NA	NA	NA	NA	NA	NA	NA
1960	1	10	NA	NA	NA	NA	NA	NA	NA
1960	1	11	NA	NA	NA	NA	NA	NA	NA
1960	1	12	NA	NA	NA	NA	NA	NA	NA
1960	1	13	NA	NA	NA	NA	NA	NA	NA
1960	1	14	NA	NA	NA	NA	NA	NA	NA
1960	1	15	NA	NA	NA	NA	NA	NA	NA
1960	1	16	NA	NA	NA	NA	NA	NA	NA
1960	1	17	NA	NA	NA	NA	NA	NA	NA
1960	1	18	NA	NA	NA	NA	NA	NA	NA
1960	1	19	NA	NA	NA	NA	NA	NA	NA
1960	1	20	NA	NA	NA	NA	NA	NA	NA
1960	1	21	NA	NA	NA	NA	NA	NA	NA
1960	1	22	NA	NA	NA	NA	NA	NA	NA
1960	1	23	NA	NA	NA	NA	NA	NA	NA
1960	1	24	NA	NA	NA	NA	NA	NA	NA
1960	1	25	NA	NA	NA	NA	NA	NA	NA
1960	1	26	NA	NA	NA	NA	NA	NA	NA
1960	1	27	NA	NA	NA	NA	NA	NA	NA
1960	1	28	NA	NA	NA	NA	NA	NA	NA
1960	1	29	NA	NA	NA	NA	NA	NA	NA
1960	1	30	NA	NA	NA	NA	NA	NA	NA
1960	1	31	NA	NA	NA	NA	NA	NA	NA
1960	2	1	NA	NA	NA	NA	NA	NA	NA
1960	2	2	NA	NA	NA	NA	NA	NA	NA
1960	2	3	NA	NA	NA	NA	NA	NA	NA
1960	2	4	NA	NA	NA	NA	NA	NA	NA
1960	2	5	NA	NA	NA	NA	NA	NA	NA
1960	2	6	NA	NA	NA	NA	NA	NA	NA
1960	2	7	NA	NA	NA	NA	NA	NA	NA
1960	2	8	NA	NA	NA	NA	NA	NA	NA
1960	2	9	NA	NA	NA	NA	NA	NA	NA
1960	2	10	NA	NA	NA	NA	NA	NA	NA
1960	2	11	NA	NA	NA	NA	NA	NA	NA
1960	2	12	NA	NA	NA	NA	NA	NA	NA
1960	2	13	NA	NA	NA	NA	NA	NA	NA
1960	2	14	NA	NA	NA	NA	NA	NA	NA
1960	2	15	NA	NA	NA	NA	NA	NA	NA
1960	2	16	NA	NA	NA	NA	NA	NA	NA
1960	2	17	NA	NA	NA	NA	NA	NA	NA
1960	2	18	NA	NA	NA	NA	NA	NA	NA
1960	2	19	NA	NA	NA	NA	NA	NA	NA
1960	2	20	NA	NA	NA	NA	NA	NA	NA
1960	2	21	NA	NA	NA	NA	NA	NA	NA
1960	2	22	NA	NA	NA	NA	NA	NA	NA
1960	2	23	NA	NA	NA	NA	NA	NA	NA
1960	2	24	NA	NA	NA	NA	NA	NA	NA
1960	2	25	NA	NA	NA	NA	NA	NA	NA
1960	2	26	NA	NA	NA	NA	NA	NA	NA
1960	2	27	NA	NA	NA	NA	NA	NA	NA
1960	2	28	NA	NA	NA	NA	NA	NA	NA
1960	2	29	NA	NA	NA	NA	NA	NA	NA
1960	3	1	14.2	1.45	35	21.1	0	4.9	8.5
1960	3	2	NA	NA	NA	NA	NA	NA	NA
1960	3	3	NA	NA	NA	NA	NA	NA	NA
1960	3	4	14.2	1.45	35	17.8	0	3.6	8.8
1960	3	5	NA	NA	NA	NA	NA	NA	NA
1960	3	6	NA	NA	NA	NA	NA	NA	NA
1960	3	7	NA	NA	NA	NA	NA	NA	NA
1960	3	8	NA	NA	NA	NA	NA	NA	NA
1960	3	9	NA	NA	NA	NA	NA	NA	NA
1960	3	10	NA	NA	NA	NA	NA	NA	NA
1960	3	11	14.2	1.45	40	25	0	1.3	10
1960	3	12	NA	NA	NA	NA	NA	NA	NA
1960	3	13	NA	NA	NA	NA	NA	NA	NA
1960	3	14	NA	NA	NA	NA	NA	NA	NA
1960	3	15	14.2	1.45	36.1	20	0	2.3	30.8
1960	3	16	14.2	1.45	40	33.9	0	4.9	9.9
1960	3	17	14.2	1.45	38.9	22.8	0	3.9	12.1
1960	3	18	14.2	1.45	41.1	25	0	3.5	9.4
1960	3	19	14.2	1.45	40	23.9	0	2.6	11.2
1960	3	20	14.2	1.45	40	20	0	1.4	17.3
1960	3	21	14.2	1.45	37.8	27.2	0	1.7	28.4
1960	3	22	14.2	1.45	36.1	28.9	0	4.3	41.2
1960	3	23	14.2	1.45	31.1	25	0	1.6	56.8
1960	3	24	14.2	1.45	36.1	25	0	1.3	41
1960	3	25	NA	NA	NA	NA	NA	NA	NA
1960	3	26	14.2	1.45	38.9	26.1	0	3.3	17.8
1960	3	27	NA	NA	NA	NA	NA	NA	NA
1960	3	28	NA	NA	NA	NA	NA	NA	NA
1960	3	29	NA	NA	NA	NA	NA	NA	NA
1960	3	30	14.2	1.45	42.2	22.2	0	2.5	15.7
1960	3	31	14.2	1.45	42.8	22.8	0	2.6	16.9
1960	4	1	NA	NA	NA	NA	NA	NA	NA
1960	4	2	NA	NA	NA	NA	NA	NA	NA
1960	4	3	NA	NA	NA	NA	NA	NA	NA
1960	4	4	NA	NA	NA	NA	NA	NA	NA
1960	4	5	NA	NA	NA	NA	NA	NA	NA
1960	4	6	NA	NA	NA	NA	NA	NA	NA
1960	4	7	NA	NA	NA	NA	NA	NA	NA
1960	4	8	NA	NA	NA	NA	NA	NA	NA
1960	4	9	NA	NA	NA	NA	NA	NA	NA
1960	4	10	NA	NA	NA	NA	NA	NA	NA
1960	4	11	NA	NA	NA	NA	NA	NA	NA
1960	4	12	NA	NA	NA	NA	NA	NA	NA
1960	4	13	NA	NA	NA	NA	NA	NA	NA
1960	4	14	NA	NA	NA	NA	NA	NA	NA
1960	4	15	NA	NA	NA	NA	NA	NA	NA
1960	4	16	NA	NA	NA	NA	NA	NA	NA
1960	4	17	NA	NA	NA	NA	NA	NA	NA
1960	4	18	NA	NA	NA	NA	NA	NA	NA
1960	4	19	NA	NA	NA	NA	NA	NA	NA
1960	4	20	NA	NA	NA	NA	NA	NA	NA
1960	4	21	NA	NA	NA	NA	NA	NA	NA
1960	4	22	NA	NA	NA	NA	NA	NA	NA
1960	4	23	NA	NA	NA	NA	NA	NA	NA
1960	4	24	NA	NA	NA	NA	NA	NA	NA
1960	4	25	NA	NA	NA	NA	NA	NA	NA
1960	4	26	NA	NA	NA	NA	NA	NA	NA
1960	4	27	NA	NA	NA	NA	NA	NA	NA
1960	4	28	NA	NA	NA	NA	NA	NA	NA
1960	4	29	NA	NA	NA	NA	NA	NA	NA
1960	4	30	NA	NA	NA	NA	NA	NA	NA
1960	5	1	NA	NA	NA	NA	NA	NA	NA
1960	5	2	NA	NA	NA	NA	NA	NA	NA
1960	5	3	NA	NA	NA	NA	NA	NA	NA
1960	5	4	NA	NA	NA	NA	NA	NA	NA
1960	5	5	NA	NA	NA	NA	NA	NA	NA
1960	5	6	NA	NA	NA	NA	NA	NA	NA
1960	5	7	14.2	1.45	37.8	23.9	0	2.3	7.9
1960	5	8	14.2	1.45	37.8	27.8	0	4.2	9
1960	5	9	NA	NA	NA	NA	NA	NA	NA
1960	5	10	NA	NA	NA	NA	NA	NA	NA
1960	5	11	NA	NA	NA	NA	NA	NA	NA
1960	5	12	14.2	1.45	40	27.2	0	1.5	31.6
1960	5	13	14.2	1.45	42.8	27.2	0	1	26.4
1960	5	14	14.2	1.45	40	30	0	NA	38
1960	5	15	NA	NA	NA	NA	NA	NA	NA
1960	5	16	NA	NA	NA	NA	NA	NA	NA
1960	5	17	NA	NA	NA	NA	NA	NA	NA
1960	5	18	14.2	1.45	40	27.2	0	2.1	20.4
1960	5	19	NA	NA	NA	NA	NA	NA	NA
1960	5	20	NA	NA	NA	NA	NA	NA	NA
1960	5	21	NA	NA	NA	NA	NA	NA	NA
1960	5	22	NA	NA	NA	NA	NA	NA	NA
1960	5	23	14.2	1.45	38.9	27.8	NA	3.1	41.5
1960	5	24	NA	NA	NA	NA	NA	NA	NA
1960	5	25	NA	NA	NA	NA	NA	NA	NA
1960	5	26	14.2	1.45	41.1	30	0	2.7	28.1
1960	5	27	14.2	1.45	38.9	27.8	0	3.1	31.8
1960	5	28	NA	NA	NA	NA	NA	NA	NA
1960	5	29	NA	NA	NA	NA	NA	NA	NA
1960	5	30	NA	NA	NA	NA	NA	NA	NA
1960	5	31	NA	NA	NA	NA	NA	NA	NA
1960	6	1	NA	NA	NA	NA	NA	NA	NA
1960	6	2	NA	NA	NA	NA	NA	NA	NA
1960	6	3	NA	NA	NA	NA	NA	NA	NA
1960	6	4	NA	NA	NA	NA	NA	NA	NA
1960	6	5	NA	NA	NA	NA	NA	NA	NA
1960	6	6	NA	NA	NA	NA	NA	NA	NA
1960	6	7	14.2	1.45	41.1	30	0	3.1	25.1
1960	6	8	NA	NA	NA	NA	NA	NA	NA
1960	6	9	NA	NA	NA	NA	NA	NA	NA
1960	6	10	14.2	1.45	42.2	27.8	0	2.7	38.2
1960	6	11	NA	NA	NA	NA	NA	NA	NA
1960	6	12	14.2	1.45	40	32.2	0	4	38.2
1960	6	13	NA	NA	NA	NA	NA	NA	NA
1960	6	14	NA	NA	NA	NA	NA	NA	NA
1960	6	15	NA	NA	NA	NA	NA	NA	NA
1960	6	16	NA	NA	NA	NA	NA	NA	NA
1960	6	17	14.2	1.45	33.9	26.1	0	4.8	48.8
1960	6	18	14.2	1.45	38.9	26.1	0	3.5	46.4
1960	6	19	14.2	1.45	33.9	27.2	0	4.9	49.6
1960	6	20	NA	NA	NA	NA	NA	NA	NA
1960	6	21	NA	NA	NA	NA	NA	NA	NA
1960	6	22	NA	NA	NA	NA	NA	NA	NA
1960	6	23	14.2	1.45	41.1	26.1	0	2.5	35.7
1960	6	24	NA	NA	NA	NA	NA	NA	NA
1960	6	25	NA	NA	NA	NA	NA	NA	NA
1960	6	26	14.2	1.45	32.8	31.1	0	6.9	48.3
1960	6	27	NA	NA	NA	NA	NA	NA	NA
1960	6	28	14.2	1.45	38.9	26.1	0	2	46.2
1960	6	29	14.2	1.45	32.8	27.2	0	NA	60
1960	6	30	NA	NA	NA	NA	NA	NA	NA
1960	7	1	14.2	1.45	37.2	26.1	0	3.5	46.7
1960	7	2	NA	NA	NA	NA	NA	NA	NA
1960	7	3	14.2	1.45	36.1	28.9	0	2.1	43
1960	7	4	NA	NA	NA	NA	NA	NA	NA
1960	7	5	NA	NA	NA	NA	NA	NA	NA
1960	7	6	NA	NA	NA	NA	NA	NA	NA
1960	7	7	NA	NA	NA	NA	NA	NA	NA
1960	7	8	NA	NA	NA	NA	NA	NA	NA
1960	7	9	NA	NA	NA	NA	NA	NA	NA
1960	7	10	NA	NA	NA	NA	NA	NA	NA
1960	7	11	14.2	1.45	36.1	26.1	0	3.4	51.1
1960	7	12	14.2	1.45	33.9	27.8	0	4.8	54.1
1960	7	13	NA	NA	NA	NA	NA	NA	NA
1960	7	14	NA	NA	NA	NA	NA	NA	NA
1960	7	15	14.2	1.45	30	23.9	0	3.6	69.3
1960	7	16	NA	NA	NA	NA	NA	NA	NA
1960	7	17	NA	NA	NA	NA	NA	NA	NA
1960	7	18	NA	NA	NA	NA	NA	NA	NA
1960	7	19	14.2	1.45	31.1	23.9	0	2.2	71.9
1960	7	20	NA	NA	NA	NA	NA	NA	NA
1960	7	21	NA	NA	NA	NA	NA	NA	NA
1960	7	22	14.2	1.45	32.8	22.8	0	5.2	61.9
1960	7	23	14.2	1.45	33.9	26.1	0	4.3	53.2
1960	7	24	NA	NA	NA	NA	NA	NA	NA
1960	7	25	14.2	1.45	37.2	27.2	0	3.9	52.4
1960	7	26	14.2	1.45	37.8	27.8	0	5.7	40.8
1960	7	27	14.2	1.45	27.8	22.8	0	2.6	70
1960	7	28	14.2	1.45	35	23.9	0	5.1	67.8
1960	7	29	14.2	1.45	31.1	26.1	0	3.3	66.9
1960	7	30	14.2	1.45	32.2	25	0	3.4	61.1
1960	7	31	NA	NA	NA	NA	NA	NA	NA
1960	8	1	14.2	1.45	33.9	27.2	0	4.9	61.3
1960	8	2	14.2	1.45	32.2	26.1	0	2.1	63.8
